noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.803900,0.000000,0.000000,0.000000
brightness, 1, 0.715300,0.001000,1.000000,10.000000
brightness, 2, 0.747000,0.001000,1.000000,10.000000
brightness, 4, 0.793200,0.001000,1.000000,10.000000
brightness, 6, 0.816300,0.001000,1.000000,10.000000
brightness, 8, 0.816500,0.001000,1.000000,10.000000
brightness, 10, 0.825300,0.001000,1.000000,10.000000
brightness, 12, 0.832600,0.001000,1.000000,10.000000
brightness, 14, 0.834900,0.001000,1.000000,10.000000
brightness, 16, 0.837000,0.001000,1.000000,10.000000
brightness, 18, 0.838100,0.001000,1.000000,10.000000
brightness, 20, 0.841600,0.001000,1.000000,10.000000
brightness, 22, 0.842500,0.001000,1.000000,10.000000
brightness, 24, 0.841900,0.001000,1.000000,10.000000
brightness, 26, 0.841700,0.001000,1.000000,10.000000
brightness, 28, 0.841300,0.001000,1.000000,10.000000
brightness, 30, 0.842200,0.001000,1.000000,10.000000
brightness, 32, 0.845600,0.001000,1.000000,10.000000
brightness, 34, 0.843800,0.001000,1.000000,10.000000
brightness, 36, 0.842900,0.001000,1.000000,10.000000
brightness, 38, 0.843500,0.001000,1.000000,10.000000
brightness, 40, 0.845900,0.001000,1.000000,10.000000
brightness, 42, 0.844400,0.001000,1.000000,10.000000
brightness, 44, 0.844900,0.001000,1.000000,10.000000
brightness, 46, 0.847000,0.001000,1.000000,10.000000
brightness, 48, 0.844100,0.001000,1.000000,10.000000
brightness, 50, 0.845500,0.001000,1.000000,10.000000
brightness, 52, 0.844500,0.001000,1.000000,10.000000
brightness, 54, 0.843600,0.001000,1.000000,10.000000
brightness, 56, 0.845400,0.001000,1.000000,10.000000
brightness, 58, 0.844300,0.001000,1.000000,10.000000
brightness, 60, 0.844700,0.001000,1.000000,10.000000
brightness, 62, 0.845100,0.001000,1.000000,10.000000
brightness, 64, 0.845100,0.001000,1.000000,10.000000
brightness, 66, 0.100000,0.001000,1.000000,10.000000
brightness, 68, 0.826500,0.001000,1.000000,10.000000
brightness, 70, 0.822200,0.001000,1.000000,10.000000
brightness, 72, 0.838100,0.001000,1.000000,10.000000
brightness, 74, 0.832200,0.001000,1.000000,10.000000
brightness, 76, 0.825200,0.001000,1.000000,10.000000
brightness, 78, 0.837200,0.001000,1.000000,10.000000
brightness, 80, 0.837300,0.001000,1.000000,10.000000
brightness, 82, 0.831600,0.001000,1.000000,10.000000
brightness, 84, 0.824900,0.001000,1.000000,10.000000
brightness, 86, 0.834600,0.001000,1.000000,10.000000
brightness, 88, 0.839600,0.001000,1.000000,10.000000
brightness, 90, 0.840400,0.001000,1.000000,10.000000
brightness, 92, 0.839400,0.001000,1.000000,10.000000
brightness, 94, 0.842200,0.001000,1.000000,10.000000
brightness, 96, 0.840400,0.001000,1.000000,10.000000
brightness, 98, 0.840800,0.001000,1.000000,10.000000
brightness, 100, 0.842100,0.001000,1.000000,10.000000
contrast, 0, 0.198400,0.000000,0.000000,0.000000
contrast, 1, 0.264500,0.001000,1.000000,10.000000
contrast, 2, 0.368700,0.001000,1.000000,10.000000
contrast, 4, 0.397300,0.001000,1.000000,10.000000
contrast, 6, 0.402800,0.001000,1.000000,10.000000
contrast, 8, 0.431900,0.001000,1.000000,10.000000
contrast, 10, 0.403600,0.001000,1.000000,10.000000
contrast, 12, 0.403900,0.001000,1.000000,10.000000
contrast, 14, 0.416300,0.001000,1.000000,10.000000
contrast, 16, 0.436000,0.001000,1.000000,10.000000
contrast, 18, 0.411300,0.001000,1.000000,10.000000
contrast, 20, 0.415800,0.001000,1.000000,10.000000
contrast, 22, 0.432800,0.001000,1.000000,10.000000
contrast, 24, 0.432300,0.001000,1.000000,10.000000
contrast, 26, 0.438600,0.001000,1.000000,10.000000
contrast, 28, 0.423400,0.001000,1.000000,10.000000
contrast, 30, 0.422600,0.001000,1.000000,10.000000
contrast, 32, 0.417600,0.001000,1.000000,10.000000
contrast, 34, 0.436300,0.001000,1.000000,10.000000
contrast, 36, 0.424800,0.001000,1.000000,10.000000
contrast, 38, 0.404600,0.001000,1.000000,10.000000
contrast, 40, 0.417100,0.001000,1.000000,10.000000
contrast, 42, 0.414200,0.001000,1.000000,10.000000
contrast, 44, 0.422700,0.001000,1.000000,10.000000
contrast, 46, 0.417700,0.001000,1.000000,10.000000
contrast, 48, 0.433500,0.001000,1.000000,10.000000
contrast, 50, 0.423700,0.001000,1.000000,10.000000
contrast, 52, 0.414600,0.001000,1.000000,10.000000
contrast, 54, 0.421100,0.001000,1.000000,10.000000
contrast, 56, 0.412800,0.001000,1.000000,10.000000
contrast, 58, 0.420600,0.001000,1.000000,10.000000
contrast, 60, 0.429100,0.001000,1.000000,10.000000
contrast, 62, 0.429900,0.001000,1.000000,10.000000
contrast, 64, 0.430500,0.001000,1.000000,10.000000
contrast, 66, 0.143800,0.001000,1.000000,10.000000
contrast, 68, 0.358200,0.001000,1.000000,10.000000
contrast, 70, 0.554600,0.001000,1.000000,10.000000
contrast, 72, 0.550900,0.001000,1.000000,10.000000
contrast, 74, 0.571100,0.001000,1.000000,10.000000
contrast, 76, 0.561800,0.001000,1.000000,10.000000
contrast, 78, 0.629000,0.001000,1.000000,10.000000
contrast, 80, 0.616700,0.001000,1.000000,10.000000
contrast, 82, 0.598800,0.001000,1.000000,10.000000
contrast, 84, 0.587500,0.001000,1.000000,10.000000
contrast, 86, 0.630600,0.001000,1.000000,10.000000
contrast, 88, 0.631400,0.001000,1.000000,10.000000
contrast, 90, 0.648000,0.001000,1.000000,10.000000
contrast, 92, 0.647400,0.001000,1.000000,10.000000
contrast, 94, 0.601100,0.001000,1.000000,10.000000
contrast, 96, 0.620700,0.001000,1.000000,10.000000
contrast, 98, 0.620400,0.001000,1.000000,10.000000
contrast, 100, 0.581700,0.001000,1.000000,10.000000
defocus_blur, 0, 0.509600,0.000000,0.000000,0.000000
defocus_blur, 1, 0.553700,0.001000,1.000000,10.000000
defocus_blur, 2, 0.621600,0.001000,1.000000,10.000000
defocus_blur, 4, 0.678900,0.001000,1.000000,10.000000
defocus_blur, 6, 0.659000,0.001000,1.000000,10.000000
defocus_blur, 8, 0.658900,0.001000,1.000000,10.000000
defocus_blur, 10, 0.665600,0.001000,1.000000,10.000000
defocus_blur, 12, 0.676500,0.001000,1.000000,10.000000
defocus_blur, 14, 0.668900,0.001000,1.000000,10.000000
defocus_blur, 16, 0.690800,0.001000,1.000000,10.000000
defocus_blur, 18, 0.673000,0.001000,1.000000,10.000000
defocus_blur, 20, 0.691600,0.001000,1.000000,10.000000
defocus_blur, 22, 0.703400,0.001000,1.000000,10.000000
defocus_blur, 24, 0.688500,0.001000,1.000000,10.000000
defocus_blur, 26, 0.686300,0.001000,1.000000,10.000000
defocus_blur, 28, 0.709100,0.001000,1.000000,10.000000
defocus_blur, 30, 0.714800,0.001000,1.000000,10.000000
defocus_blur, 32, 0.693800,0.001000,1.000000,10.000000
defocus_blur, 34, 0.707600,0.001000,1.000000,10.000000
defocus_blur, 36, 0.698600,0.001000,1.000000,10.000000
defocus_blur, 38, 0.700100,0.001000,1.000000,10.000000
defocus_blur, 40, 0.714300,0.001000,1.000000,10.000000
defocus_blur, 42, 0.719900,0.001000,1.000000,10.000000
defocus_blur, 44, 0.707100,0.001000,1.000000,10.000000
defocus_blur, 46, 0.706400,0.001000,1.000000,10.000000
defocus_blur, 48, 0.685000,0.001000,1.000000,10.000000
defocus_blur, 50, 0.709200,0.001000,1.000000,10.000000
defocus_blur, 52, 0.712700,0.001000,1.000000,10.000000
defocus_blur, 54, 0.716500,0.001000,1.000000,10.000000
defocus_blur, 56, 0.702500,0.001000,1.000000,10.000000
defocus_blur, 58, 0.710400,0.001000,1.000000,10.000000
defocus_blur, 60, 0.724100,0.001000,1.000000,10.000000
defocus_blur, 62, 0.717000,0.001000,1.000000,10.000000
defocus_blur, 64, 0.723200,0.001000,1.000000,10.000000
defocus_blur, 66, 0.758100,0.001000,1.000000,10.000000
defocus_blur, 68, 0.743600,0.001000,1.000000,10.000000
defocus_blur, 70, 0.784800,0.001000,1.000000,10.000000
defocus_blur, 72, 0.784900,0.001000,1.000000,10.000000
defocus_blur, 74, 0.772000,0.001000,1.000000,10.000000
defocus_blur, 76, 0.773000,0.001000,1.000000,10.000000
defocus_blur, 78, 0.795700,0.001000,1.000000,10.000000
defocus_blur, 80, 0.793000,0.001000,1.000000,10.000000
defocus_blur, 82, 0.775700,0.001000,1.000000,10.000000
defocus_blur, 84, 0.796400,0.001000,1.000000,10.000000
defocus_blur, 86, 0.776300,0.001000,1.000000,10.000000
defocus_blur, 88, 0.767400,0.001000,1.000000,10.000000
defocus_blur, 90, 0.780900,0.001000,1.000000,10.000000
defocus_blur, 92, 0.770300,0.001000,1.000000,10.000000
defocus_blur, 94, 0.770400,0.001000,1.000000,10.000000
defocus_blur, 96, 0.781900,0.001000,1.000000,10.000000
defocus_blur, 98, 0.774900,0.001000,1.000000,10.000000
defocus_blur, 100, 0.777400,0.001000,1.000000,10.000000
elastic_transform, 0, 0.712200,0.000000,0.000000,0.000000
elastic_transform, 1, 0.496200,0.001000,1.000000,10.000000
elastic_transform, 2, 0.662800,0.001000,1.000000,10.000000
elastic_transform, 4, 0.673300,0.001000,1.000000,10.000000
elastic_transform, 6, 0.656400,0.001000,1.000000,10.000000
elastic_transform, 8, 0.661800,0.001000,1.000000,10.000000
elastic_transform, 10, 0.667400,0.001000,1.000000,10.000000
elastic_transform, 12, 0.659300,0.001000,1.000000,10.000000
elastic_transform, 14, 0.668700,0.001000,1.000000,10.000000
elastic_transform, 16, 0.663600,0.001000,1.000000,10.000000
elastic_transform, 18, 0.683100,0.001000,1.000000,10.000000
elastic_transform, 20, 0.687000,0.001000,1.000000,10.000000
elastic_transform, 22, 0.693800,0.001000,1.000000,10.000000
elastic_transform, 24, 0.697900,0.001000,1.000000,10.000000
elastic_transform, 26, 0.690400,0.001000,1.000000,10.000000
elastic_transform, 28, 0.691100,0.001000,1.000000,10.000000
elastic_transform, 30, 0.689200,0.001000,1.000000,10.000000
elastic_transform, 32, 0.684100,0.001000,1.000000,10.000000
elastic_transform, 34, 0.696700,0.001000,1.000000,10.000000
elastic_transform, 36, 0.704100,0.001000,1.000000,10.000000
elastic_transform, 38, 0.704900,0.001000,1.000000,10.000000
elastic_transform, 40, 0.704900,0.001000,1.000000,10.000000
elastic_transform, 42, 0.696500,0.001000,1.000000,10.000000
elastic_transform, 44, 0.684300,0.001000,1.000000,10.000000
elastic_transform, 46, 0.703000,0.001000,1.000000,10.000000
elastic_transform, 48, 0.699800,0.001000,1.000000,10.000000
elastic_transform, 50, 0.700200,0.001000,1.000000,10.000000
elastic_transform, 52, 0.698900,0.001000,1.000000,10.000000
elastic_transform, 54, 0.704100,0.001000,1.000000,10.000000
elastic_transform, 56, 0.696900,0.001000,1.000000,10.000000
elastic_transform, 58, 0.700100,0.001000,1.000000,10.000000
elastic_transform, 60, 0.707500,0.001000,1.000000,10.000000
elastic_transform, 62, 0.707300,0.001000,1.000000,10.000000
elastic_transform, 64, 0.720800,0.001000,1.000000,10.000000
elastic_transform, 66, 0.459600,0.001000,1.000000,10.000000
elastic_transform, 68, 0.675400,0.001000,1.000000,10.000000
elastic_transform, 70, 0.694900,0.001000,1.000000,10.000000
elastic_transform, 72, 0.714100,0.001000,1.000000,10.000000
elastic_transform, 74, 0.710300,0.001000,1.000000,10.000000
elastic_transform, 76, 0.737700,0.001000,1.000000,10.000000
elastic_transform, 78, 0.724600,0.001000,1.000000,10.000000
elastic_transform, 80, 0.740300,0.001000,1.000000,10.000000
elastic_transform, 82, 0.730600,0.001000,1.000000,10.000000
elastic_transform, 84, 0.743000,0.001000,1.000000,10.000000
elastic_transform, 86, 0.739100,0.001000,1.000000,10.000000
elastic_transform, 88, 0.741700,0.001000,1.000000,10.000000
elastic_transform, 90, 0.738300,0.001000,1.000000,10.000000
elastic_transform, 92, 0.739400,0.001000,1.000000,10.000000
elastic_transform, 94, 0.730400,0.001000,1.000000,10.000000
elastic_transform, 96, 0.739800,0.001000,1.000000,10.000000
elastic_transform, 98, 0.739200,0.001000,1.000000,10.000000
elastic_transform, 100, 0.736000,0.001000,1.000000,10.000000
fog, 0, 0.492200,0.000000,0.000000,0.000000
fog, 1, 0.574600,0.001000,1.000000,10.000000
fog, 2, 0.527900,0.001000,1.000000,10.000000
fog, 4, 0.565400,0.001000,1.000000,10.000000
fog, 6, 0.631000,0.001000,1.000000,10.000000
fog, 8, 0.653500,0.001000,1.000000,10.000000
fog, 10, 0.657400,0.001000,1.000000,10.000000
fog, 12, 0.660800,0.001000,1.000000,10.000000
fog, 14, 0.662700,0.001000,1.000000,10.000000
fog, 16, 0.627300,0.001000,1.000000,10.000000
fog, 18, 0.635400,0.001000,1.000000,10.000000
fog, 20, 0.625400,0.001000,1.000000,10.000000
fog, 22, 0.633300,0.001000,1.000000,10.000000
fog, 24, 0.635600,0.001000,1.000000,10.000000
fog, 26, 0.634500,0.001000,1.000000,10.000000
fog, 28, 0.626900,0.001000,1.000000,10.000000
fog, 30, 0.624700,0.001000,1.000000,10.000000
fog, 32, 0.632500,0.001000,1.000000,10.000000
fog, 34, 0.618500,0.001000,1.000000,10.000000
fog, 36, 0.619000,0.001000,1.000000,10.000000
fog, 38, 0.643100,0.001000,1.000000,10.000000
fog, 40, 0.629500,0.001000,1.000000,10.000000
fog, 42, 0.630600,0.001000,1.000000,10.000000
fog, 44, 0.631900,0.001000,1.000000,10.000000
fog, 46, 0.619200,0.001000,1.000000,10.000000
fog, 48, 0.643900,0.001000,1.000000,10.000000
fog, 50, 0.639600,0.001000,1.000000,10.000000
fog, 52, 0.643300,0.001000,1.000000,10.000000
fog, 54, 0.635200,0.001000,1.000000,10.000000
fog, 56, 0.642900,0.001000,1.000000,10.000000
fog, 58, 0.642600,0.001000,1.000000,10.000000
fog, 60, 0.644500,0.001000,1.000000,10.000000
fog, 62, 0.636500,0.001000,1.000000,10.000000
fog, 64, 0.635900,0.001000,1.000000,10.000000
fog, 66, 0.609800,0.001000,1.000000,10.000000
fog, 68, 0.648500,0.001000,1.000000,10.000000
fog, 70, 0.671900,0.001000,1.000000,10.000000
fog, 72, 0.660200,0.001000,1.000000,10.000000
fog, 74, 0.687100,0.001000,1.000000,10.000000
fog, 76, 0.674600,0.001000,1.000000,10.000000
fog, 78, 0.703400,0.001000,1.000000,10.000000
fog, 80, 0.674600,0.001000,1.000000,10.000000
fog, 82, 0.688000,0.001000,1.000000,10.000000
fog, 84, 0.687500,0.001000,1.000000,10.000000
fog, 86, 0.696100,0.001000,1.000000,10.000000
fog, 88, 0.691800,0.001000,1.000000,10.000000
fog, 90, 0.689500,0.001000,1.000000,10.000000
fog, 92, 0.688000,0.001000,1.000000,10.000000
fog, 94, 0.701400,0.001000,1.000000,10.000000
fog, 96, 0.700000,0.001000,1.000000,10.000000
fog, 98, 0.690500,0.001000,1.000000,10.000000
fog, 100, 0.685200,0.001000,1.000000,10.000000
frost, 0, 0.675000,0.000000,0.000000,0.000000
frost, 1, 0.537300,0.001000,1.000000,10.000000
frost, 2, 0.698400,0.001000,1.000000,10.000000
frost, 4, 0.740300,0.001000,1.000000,10.000000
frost, 6, 0.734600,0.001000,1.000000,10.000000
frost, 8, 0.740200,0.001000,1.000000,10.000000
frost, 10, 0.749200,0.001000,1.000000,10.000000
frost, 12, 0.740400,0.001000,1.000000,10.000000
frost, 14, 0.745000,0.001000,1.000000,10.000000
frost, 16, 0.757800,0.001000,1.000000,10.000000
frost, 18, 0.757800,0.001000,1.000000,10.000000
frost, 20, 0.760600,0.001000,1.000000,10.000000
frost, 22, 0.762300,0.001000,1.000000,10.000000
frost, 24, 0.753200,0.001000,1.000000,10.000000
frost, 26, 0.754600,0.001000,1.000000,10.000000
frost, 28, 0.753700,0.001000,1.000000,10.000000
frost, 30, 0.758500,0.001000,1.000000,10.000000
frost, 32, 0.757400,0.001000,1.000000,10.000000
frost, 34, 0.756900,0.001000,1.000000,10.000000
frost, 36, 0.753900,0.001000,1.000000,10.000000
frost, 38, 0.759600,0.001000,1.000000,10.000000
frost, 40, 0.761100,0.001000,1.000000,10.000000
frost, 42, 0.764800,0.001000,1.000000,10.000000
frost, 44, 0.763200,0.001000,1.000000,10.000000
frost, 46, 0.762800,0.001000,1.000000,10.000000
frost, 48, 0.763100,0.001000,1.000000,10.000000
frost, 50, 0.762900,0.001000,1.000000,10.000000
frost, 52, 0.759600,0.001000,1.000000,10.000000
frost, 54, 0.764000,0.001000,1.000000,10.000000
frost, 56, 0.760400,0.001000,1.000000,10.000000
frost, 58, 0.756400,0.001000,1.000000,10.000000
frost, 60, 0.762000,0.001000,1.000000,10.000000
frost, 62, 0.758600,0.001000,1.000000,10.000000
frost, 64, 0.758200,0.001000,1.000000,10.000000
frost, 66, 0.641700,0.001000,1.000000,10.000000
frost, 68, 0.738200,0.001000,1.000000,10.000000
frost, 70, 0.740500,0.001000,1.000000,10.000000
frost, 72, 0.752200,0.001000,1.000000,10.000000
frost, 74, 0.751900,0.001000,1.000000,10.000000
frost, 76, 0.755300,0.001000,1.000000,10.000000
frost, 78, 0.752600,0.001000,1.000000,10.000000
frost, 80, 0.756600,0.001000,1.000000,10.000000
frost, 82, 0.761500,0.001000,1.000000,10.000000
frost, 84, 0.764500,0.001000,1.000000,10.000000
frost, 86, 0.762700,0.001000,1.000000,10.000000
frost, 88, 0.765300,0.001000,1.000000,10.000000
frost, 90, 0.760600,0.001000,1.000000,10.000000
frost, 92, 0.766000,0.001000,1.000000,10.000000
frost, 94, 0.765700,0.001000,1.000000,10.000000
frost, 96, 0.764000,0.001000,1.000000,10.000000
frost, 98, 0.765700,0.001000,1.000000,10.000000
frost, 100, 0.766700,0.001000,1.000000,10.000000
gaussian_noise, 0, 0.579800,0.000000,0.000000,0.000000
gaussian_noise, 1, 0.580600,0.001000,1.000000,10.000000
gaussian_noise, 2, 0.628000,0.001000,1.000000,10.000000
gaussian_noise, 4, 0.681000,0.001000,1.000000,10.000000
gaussian_noise, 6, 0.693700,0.001000,1.000000,10.000000
gaussian_noise, 8, 0.719000,0.001000,1.000000,10.000000
gaussian_noise, 10, 0.713100,0.001000,1.000000,10.000000
gaussian_noise, 12, 0.707400,0.001000,1.000000,10.000000
gaussian_noise, 14, 0.714500,0.001000,1.000000,10.000000
gaussian_noise, 16, 0.715100,0.001000,1.000000,10.000000
gaussian_noise, 18, 0.716400,0.001000,1.000000,10.000000
gaussian_noise, 20, 0.712300,0.001000,1.000000,10.000000
gaussian_noise, 22, 0.716900,0.001000,1.000000,10.000000
gaussian_noise, 24, 0.717200,0.001000,1.000000,10.000000
gaussian_noise, 26, 0.710400,0.001000,1.000000,10.000000
gaussian_noise, 28, 0.715000,0.001000,1.000000,10.000000
gaussian_noise, 30, 0.715900,0.001000,1.000000,10.000000
gaussian_noise, 32, 0.712700,0.001000,1.000000,10.000000
gaussian_noise, 34, 0.710700,0.001000,1.000000,10.000000
gaussian_noise, 36, 0.713200,0.001000,1.000000,10.000000
gaussian_noise, 38, 0.714800,0.001000,1.000000,10.000000
