noise_type,N_T,A_T
brightness, 2, 0.625900
brightness, 52, 0.769300
brightness, 102, 0.785200
brightness, 152, 0.775400
brightness, 202, 0.761500
brightness, 252, 0.786900
brightness, 302, 0.773900
brightness, 352, 0.761900
brightness, 402, 0.791600
brightness, 452, 0.781100
contrast, 2, 0.100000
contrast, 52, 0.420800
contrast, 102, 0.372900
contrast, 152, 0.592000
contrast, 202, 0.584200
contrast, 252, 0.566500
contrast, 302, 0.487800
contrast, 352, 0.588700
contrast, 402, 0.599600
contrast, 452, 0.600300
defocus_blur, 2, 0.437700
defocus_blur, 52, 0.660800
defocus_blur, 102, 0.727200
defocus_blur, 152, 0.721700
defocus_blur, 202, 0.676800
defocus_blur, 252, 0.725600
defocus_blur, 302, 0.752900
defocus_blur, 352, 0.755100
defocus_blur, 402, 0.733300
defocus_blur, 452, 0.743400
elastic_transform, 2, 0.550000
elastic_transform, 52, 0.664900
elastic_transform, 102, 0.699700
elastic_transform, 152, 0.707000
elastic_transform, 202, 0.586400
elastic_transform, 252, 0.715800
elastic_transform, 302, 0.716600
elastic_transform, 352, 0.700400
elastic_transform, 402, 0.714800
elastic_transform, 452, 0.611300
fog, 2, 0.368300
fog, 52, 0.582700
fog, 102, 0.615600
fog, 152, 0.647500
fog, 202, 0.530700
fog, 252, 0.639500
fog, 302, 0.694000
fog, 352, 0.669100
fog, 402, 0.674500
fog, 452, 0.656600
frost, 2, 0.594600
frost, 52, 0.696400
frost, 102, 0.710500
frost, 152, 0.729400
frost, 202, 0.685700
frost, 252, 0.702500
frost, 302, 0.721300
frost, 352, 0.747900
frost, 402, 0.738700
frost, 452, 0.724500
gaussian_blur, 2, 0.583800
gaussian_blur, 52, 0.646400
gaussian_blur, 102, 0.727100
gaussian_blur, 152, 0.689500
gaussian_blur, 202, 0.736800
gaussian_blur, 252, 0.751000
gaussian_blur, 302, 0.729800
gaussian_blur, 352, 0.757600
gaussian_blur, 402, 0.702700
gaussian_blur, 452, 0.544100
gaussian_noise, 2, 0.537400
gaussian_noise, 52, 0.669700
gaussian_noise, 102, 0.701300
gaussian_noise, 152, 0.721200
gaussian_noise, 202, 0.704400
gaussian_noise, 252, 0.737300
gaussian_noise, 302, 0.741500
gaussian_noise, 352, 0.695000
gaussian_noise, 402, 0.754300
gaussian_noise, 452, 0.722400
glass_blur, 2, 0.537900
glass_blur, 52, 0.633500
glass_blur, 102, 0.642400
glass_blur, 152, 0.644300
glass_blur, 202, 0.593900
glass_blur, 252, 0.655200
glass_blur, 302, 0.666400
glass_blur, 352, 0.671200
glass_blur, 402, 0.664700
glass_blur, 452, 0.641500
impulse_noise, 2, 0.469100
impulse_noise, 52, 0.601500
impulse_noise, 102, 0.621400
impulse_noise, 152, 0.588000
impulse_noise, 202, 0.614000
impulse_noise, 252, 0.624900
impulse_noise, 302, 0.641600
impulse_noise, 352, 0.638500
impulse_noise, 402, 0.643700
impulse_noise, 452, 0.504900
jpeg_compression, 2, 0.613400
jpeg_compression, 52, 0.720000
jpeg_compression, 102, 0.762400
jpeg_compression, 152, 0.746100
jpeg_compression, 202, 0.501500
jpeg_compression, 252, 0.768800
jpeg_compression, 302, 0.766800
jpeg_compression, 352, 0.768900
jpeg_compression, 402, 0.770900
jpeg_compression, 452, 0.756700
motion_blur, 2, 0.513900
motion_blur, 52, 0.663600
motion_blur, 102, 0.710100
motion_blur, 152, 0.711300
motion_blur, 202, 0.431700
motion_blur, 252, 0.733700
motion_blur, 302, 0.673900
motion_blur, 352, 0.726700
motion_blur, 402, 0.742200
motion_blur, 452, 0.718300
pixelate, 2, 0.518600
pixelate, 52, 0.691800
pixelate, 102, 0.743300
pixelate, 152, 0.749900
pixelate, 202, 0.740800
pixelate, 252, 0.755900
pixelate, 302, 0.750800
pixelate, 352, 0.757800
pixelate, 402, 0.751400
pixelate, 452, 0.744200
saturate, 2, 0.583000
saturate, 52, 0.751700
saturate, 102, 0.777300
saturate, 152, 0.774900
saturate, 202, 0.754300
saturate, 252, 0.771900
saturate, 302, 0.786900
saturate, 352, 0.788200
saturate, 402, 0.781400
saturate, 452, 0.686800
shot_noise, 2, 0.585000
shot_noise, 52, 0.724000
shot_noise, 102, 0.703200
shot_noise, 152, 0.726200
shot_noise, 202, 0.714200
shot_noise, 252, 0.748000
shot_noise, 302, 0.716800
shot_noise, 352, 0.729700
shot_noise, 402, 0.728300
shot_noise, 452, 0.734100
snow, 2, 0.566100
snow, 52, 0.687200
snow, 102, 0.730300
snow, 152, 0.728100
snow, 202, 0.701700
snow, 252, 0.743800
snow, 302, 0.749400
snow, 352, 0.746600
snow, 402, 0.746200
snow, 452, 0.733500
spatter, 2, 0.582100
spatter, 52, 0.673800
spatter, 102, 0.661900
spatter, 152, 0.671600
spatter, 202, 0.648800
spatter, 252, 0.649400
spatter, 302, 0.683600
spatter, 352, 0.692200
spatter, 402, 0.696800
spatter, 452, 0.665600
speckle_noise, 2, 0.099100
speckle_noise, 52, 0.674800
speckle_noise, 102, 0.724100
speckle_noise, 152, 0.671100
speckle_noise, 202, 0.707800
speckle_noise, 252, 0.722700
speckle_noise, 302, 0.715800
speckle_noise, 352, 0.728900
speckle_noise, 402, 0.739000
speckle_noise, 452, 0.702200
zoom_blur, 2, 0.429200
zoom_blur, 52, 0.637300
zoom_blur, 102, 0.721600
zoom_blur, 152, 0.743800
zoom_blur, 202, 0.692300
zoom_blur, 252, 0.678900
zoom_blur, 302, 0.737800
zoom_blur, 352, 0.716400
zoom_blur, 402, 0.747600
zoom_blur, 452, 0.739600
