noise_type,N_T,A_T
brightness, 2, 0.629600
brightness, 52, 0.760600
brightness, 102, 0.782900
brightness, 152, 0.775500
brightness, 202, 0.776700
brightness, 252, 0.792800
brightness, 302, 0.793400
brightness, 352, 0.790700
brightness, 402, 0.779200
brightness, 452, 0.783400
contrast, 2, 0.100000
contrast, 52, 0.352500
contrast, 102, 0.455200
contrast, 152, 0.586300
contrast, 202, 0.427600
contrast, 252, 0.648900
contrast, 302, 0.663400
contrast, 352, 0.664300
contrast, 402, 0.659400
contrast, 452, 0.600600
defocus_blur, 2, 0.437700
defocus_blur, 52, 0.671400
defocus_blur, 102, 0.732300
defocus_blur, 152, 0.727700
defocus_blur, 202, 0.696400
defocus_blur, 252, 0.735000
defocus_blur, 302, 0.757600
defocus_blur, 352, 0.756800
defocus_blur, 402, 0.746700
defocus_blur, 452, 0.619000
elastic_transform, 2, 0.561200
elastic_transform, 52, 0.696800
elastic_transform, 102, 0.711600
elastic_transform, 152, 0.708500
elastic_transform, 202, 0.671500
elastic_transform, 252, 0.714400
elastic_transform, 302, 0.713800
elastic_transform, 352, 0.700600
elastic_transform, 402, 0.719100
elastic_transform, 452, 0.706800
fog, 2, 0.368900
fog, 52, 0.523200
fog, 102, 0.540500
fog, 152, 0.646800
fog, 202, 0.633200
fog, 252, 0.675000
fog, 302, 0.684000
fog, 352, 0.678300
fog, 402, 0.681900
fog, 452, 0.555500
frost, 2, 0.598200
frost, 52, 0.705000
frost, 102, 0.685700
frost, 152, 0.722400
frost, 202, 0.672700
frost, 252, 0.735500
frost, 302, 0.737400
frost, 352, 0.744600
frost, 402, 0.739400
frost, 452, 0.726100
gaussian_blur, 2, 0.583800
gaussian_blur, 52, 0.645500
gaussian_blur, 102, 0.732400
gaussian_blur, 152, 0.736400
gaussian_blur, 202, 0.729600
gaussian_blur, 252, 0.747900
gaussian_blur, 302, 0.748800
gaussian_blur, 352, 0.753800
gaussian_blur, 402, 0.745800
gaussian_blur, 452, 0.735600
gaussian_noise, 2, 0.538600
gaussian_noise, 52, 0.700200
gaussian_noise, 102, 0.726700
gaussian_noise, 152, 0.734800
gaussian_noise, 202, 0.733800
gaussian_noise, 252, 0.737800
gaussian_noise, 302, 0.741400
gaussian_noise, 352, 0.748400
gaussian_noise, 402, 0.737700
gaussian_noise, 452, 0.728200
glass_blur, 2, 0.537900
glass_blur, 52, 0.633300
glass_blur, 102, 0.605200
glass_blur, 152, 0.648800
glass_blur, 202, 0.599500
glass_blur, 252, 0.655600
glass_blur, 302, 0.658500
glass_blur, 352, 0.668500
glass_blur, 402, 0.639600
glass_blur, 452, 0.586100
impulse_noise, 2, 0.469100
impulse_noise, 52, 0.605900
impulse_noise, 102, 0.637200
impulse_noise, 152, 0.645300
impulse_noise, 202, 0.630600
impulse_noise, 252, 0.642000
impulse_noise, 302, 0.659500
impulse_noise, 352, 0.660600
impulse_noise, 402, 0.665500
impulse_noise, 452, 0.547600
jpeg_compression, 2, 0.613400
jpeg_compression, 52, 0.732300
jpeg_compression, 102, 0.735500
jpeg_compression, 152, 0.760800
jpeg_compression, 202, 0.729400
jpeg_compression, 252, 0.769900
jpeg_compression, 302, 0.766000
jpeg_compression, 352, 0.773900
jpeg_compression, 402, 0.773000
jpeg_compression, 452, 0.668200
motion_blur, 2, 0.454500
motion_blur, 52, 0.639100
motion_blur, 102, 0.707300
motion_blur, 152, 0.604900
motion_blur, 202, 0.716400
motion_blur, 252, 0.730200
motion_blur, 302, 0.728000
motion_blur, 352, 0.729000
motion_blur, 402, 0.737400
motion_blur, 452, 0.717200
pixelate, 2, 0.518500
pixelate, 52, 0.714400
pixelate, 102, 0.745100
pixelate, 152, 0.748600
pixelate, 202, 0.710100
pixelate, 252, 0.759700
pixelate, 302, 0.752800
pixelate, 352, 0.755700
pixelate, 402, 0.741700
pixelate, 452, 0.748000
saturate, 2, 0.589800
saturate, 52, 0.768000
saturate, 102, 0.779000
saturate, 152, 0.781500
saturate, 202, 0.781800
saturate, 252, 0.786900
saturate, 302, 0.787500
saturate, 352, 0.790900
saturate, 402, 0.777500
saturate, 452, 0.783500
shot_noise, 2, 0.585000
shot_noise, 52, 0.724200
shot_noise, 102, 0.712100
shot_noise, 152, 0.741700
shot_noise, 202, 0.735100
shot_noise, 252, 0.748000
shot_noise, 302, 0.744000
shot_noise, 352, 0.746100
shot_noise, 402, 0.745600
shot_noise, 452, 0.664400
snow, 2, 0.586500
snow, 52, 0.712600
snow, 102, 0.733300
snow, 152, 0.733200
snow, 202, 0.688500
snow, 252, 0.745400
snow, 302, 0.749700
snow, 352, 0.746600
snow, 402, 0.743400
snow, 452, 0.736200
spatter, 2, 0.582100
spatter, 52, 0.671600
spatter, 102, 0.663100
spatter, 152, 0.664600
spatter, 202, 0.675700
spatter, 252, 0.679900
spatter, 302, 0.683100
spatter, 352, 0.688900
spatter, 402, 0.697400
spatter, 452, 0.547700
speckle_noise, 2, 0.102200
speckle_noise, 52, 0.688900
speckle_noise, 102, 0.723900
speckle_noise, 152, 0.726100
speckle_noise, 202, 0.704800
speckle_noise, 252, 0.734600
speckle_noise, 302, 0.732800
speckle_noise, 352, 0.732000
speckle_noise, 402, 0.728900
speckle_noise, 452, 0.643500
zoom_blur, 2, 0.105900
zoom_blur, 52, 0.688200
zoom_blur, 102, 0.707800
zoom_blur, 152, 0.736800
zoom_blur, 202, 0.729900
zoom_blur, 252, 0.751900
zoom_blur, 302, 0.755000
zoom_blur, 352, 0.757300
zoom_blur, 402, 0.695100
zoom_blur, 452, 0.740700
