noise_type,N_T,A_T
impulse_noise, 102, 0.591600
impulse_noise, 112, 0.626000
impulse_noise, 122, 0.593400
impulse_noise, 132, 0.132900
impulse_noise, 142, 0.329500
impulse_noise, 152, 0.366000
impulse_noise, 162, 0.535700
impulse_noise, 172, 0.572600
impulse_noise, 182, 0.610000
impulse_noise, 192, 0.583700
jpeg_compression, 2, 0.100000
jpeg_compression, 12, 0.601300
jpeg_compression, 22, 0.544000
jpeg_compression, 32, 0.709100
jpeg_compression, 42, 0.737400
jpeg_compression, 52, 0.753400
jpeg_compression, 62, 0.735900
jpeg_compression, 72, 0.216300
jpeg_compression, 82, 0.527000
jpeg_compression, 92, 0.678000
jpeg_compression, 102, 0.705900
jpeg_compression, 112, 0.749800
jpeg_compression, 122, 0.742200
jpeg_compression, 132, 0.100000
jpeg_compression, 142, 0.514600
jpeg_compression, 152, 0.659400
jpeg_compression, 162, 0.638200
jpeg_compression, 172, 0.741100
jpeg_compression, 182, 0.701200
jpeg_compression, 192, 0.718100
motion_blur, 2, 0.092500
motion_blur, 12, 0.403100
motion_blur, 22, 0.486900
motion_blur, 32, 0.617200
motion_blur, 42, 0.599000
motion_blur, 52, 0.640100
motion_blur, 62, 0.632100
motion_blur, 72, 0.220200
motion_blur, 82, 0.663800
motion_blur, 92, 0.593600
motion_blur, 102, 0.615200
motion_blur, 112, 0.598700
motion_blur, 122, 0.642800
motion_blur, 132, 0.099900
motion_blur, 142, 0.380000
motion_blur, 152, 0.616200
motion_blur, 162, 0.624400
motion_blur, 172, 0.517100
motion_blur, 182, 0.635200
motion_blur, 192, 0.609300
pixelate, 2, 0.645700
pixelate, 12, 0.522800
pixelate, 22, 0.668100
pixelate, 32, 0.703100
pixelate, 42, 0.727800
pixelate, 52, 0.682500
pixelate, 62, 0.725200
pixelate, 72, 0.208000
pixelate, 82, 0.629900
pixelate, 92, 0.685000
pixelate, 102, 0.694500
pixelate, 112, 0.675400
pixelate, 122, 0.678600
pixelate, 132, 0.100000
pixelate, 142, 0.560000
pixelate, 152, 0.626500
pixelate, 162, 0.665400
pixelate, 172, 0.672900
pixelate, 182, 0.707800
pixelate, 192, 0.683500
saturate, 2, 0.100000
saturate, 12, 0.627500
saturate, 22, 0.754000
saturate, 32, 0.754600
saturate, 42, 0.760000
saturate, 52, 0.762600
saturate, 62, 0.756900
saturate, 72, 0.372100
saturate, 82, 0.753300
saturate, 92, 0.717600
saturate, 102, 0.753000
saturate, 112, 0.736400
saturate, 122, 0.745500
saturate, 132, 0.119800
saturate, 142, 0.618000
saturate, 152, 0.666600
saturate, 162, 0.731800
saturate, 172, 0.748200
saturate, 182, 0.732500
saturate, 192, 0.755400
shot_noise, 2, 0.147800
shot_noise, 12, 0.672200
shot_noise, 22, 0.667700
shot_noise, 32, 0.702100
shot_noise, 42, 0.715200
shot_noise, 52, 0.689200
shot_noise, 62, 0.714600
shot_noise, 72, 0.120000
shot_noise, 82, 0.685500
shot_noise, 92, 0.716800
shot_noise, 102, 0.700900
shot_noise, 112, 0.732100
shot_noise, 122, 0.727100
shot_noise, 132, 0.100000
shot_noise, 142, 0.311700
shot_noise, 152, 0.680100
shot_noise, 162, 0.649900
shot_noise, 172, 0.713900
shot_noise, 182, 0.711300
shot_noise, 192, 0.702400
snow, 2, 0.100100
snow, 12, 0.499900
snow, 22, 0.662600
snow, 32, 0.684600
snow, 42, 0.706500
snow, 52, 0.685000
snow, 62, 0.656300
snow, 72, 0.098300
snow, 82, 0.539000
snow, 92, 0.664700
snow, 102, 0.599700
snow, 112, 0.683200
snow, 122, 0.706800
snow, 132, 0.100000
snow, 142, 0.563900
snow, 152, 0.645000
snow, 162, 0.580600
snow, 172, 0.680300
snow, 182, 0.672600
snow, 192, 0.665800
spatter, 2, 0.100000
spatter, 12, 0.608900
spatter, 22, 0.649300
spatter, 32, 0.654700
spatter, 42, 0.636700
spatter, 52, 0.617800
spatter, 62, 0.662100
spatter, 72, 0.196500
spatter, 82, 0.537800
spatter, 92, 0.629500
spatter, 102, 0.618900
spatter, 112, 0.639400
spatter, 122, 0.660700
spatter, 132, 0.107600
spatter, 142, 0.337100
spatter, 152, 0.508700
spatter, 162, 0.570300
spatter, 172, 0.651200
spatter, 182, 0.623000
spatter, 192, 0.659300
speckle_noise, 2, 0.068400
speckle_noise, 12, 0.588700
speckle_noise, 22, 0.616900
speckle_noise, 32, 0.660300
speckle_noise, 42, 0.676300
speckle_noise, 52, 0.646400
speckle_noise, 62, 0.679500
speckle_noise, 72, 0.234200
speckle_noise, 82, 0.625300
speckle_noise, 92, 0.688900
speckle_noise, 102, 0.714800
speckle_noise, 112, 0.697900
speckle_noise, 122, 0.712100
speckle_noise, 132, 0.100000
speckle_noise, 142, 0.232500
speckle_noise, 152, 0.625600
speckle_noise, 162, 0.638900
speckle_noise, 172, 0.688400
speckle_noise, 182, 0.686000
speckle_noise, 192, 0.717000
zoom_blur, 2, 0.112200
zoom_blur, 12, 0.462300
zoom_blur, 22, 0.559900
zoom_blur, 32, 0.389300
zoom_blur, 42, 0.636400
zoom_blur, 52, 0.648800
zoom_blur, 62, 0.650300
zoom_blur, 72, 0.268000
zoom_blur, 82, 0.500000
zoom_blur, 92, 0.602500
zoom_blur, 102, 0.682900
zoom_blur, 112, 0.613700
zoom_blur, 122, 0.595700
zoom_blur, 132, 0.140500
zoom_blur, 142, 0.601400
zoom_blur, 152, 0.565600
zoom_blur, 162, 0.688300
zoom_blur, 172, 0.565700
zoom_blur, 182, 0.705300
zoom_blur, 192, 0.702800
