noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.376200,0.001000,0.000000,1.000000
contrast, 27, 0.379100,0.001000,0.000000,1.000000
contrast, 52, 0.271400,0.001000,0.000000,1.000000
contrast, 77, 0.427700,0.001000,0.000000,1.000000
contrast, 102, 0.473800,0.001000,0.000000,1.000000
contrast, 127, 0.511900,0.001000,0.000000,1.000000
contrast, 152, 0.536700,0.001000,0.000000,1.000000
contrast, 177, 0.384800,0.001000,0.000000,1.000000
contrast, 202, 0.546400,0.001000,0.000000,1.000000
motion_blur, 2, 0.709100,0.001000,0.000000,1.000000
motion_blur, 27, 0.715000,0.001000,0.000000,1.000000
motion_blur, 52, 0.694100,0.001000,0.000000,1.000000
motion_blur, 77, 0.737100,0.001000,0.000000,1.000000
motion_blur, 102, 0.738600,0.001000,0.000000,1.000000
motion_blur, 127, 0.649900,0.001000,0.000000,1.000000
motion_blur, 152, 0.705600,0.001000,0.000000,1.000000
motion_blur, 177, 0.632900,0.001000,0.000000,1.000000
motion_blur, 202, 0.699900,0.001000,0.000000,1.000000
fog, 2, 0.638400,0.001000,0.000000,1.000000
fog, 27, 0.646300,0.001000,0.000000,1.000000
fog, 52, 0.393200,0.001000,0.000000,1.000000
fog, 77, 0.657200,0.001000,0.000000,1.000000
fog, 102, 0.671700,0.001000,0.000000,1.000000
fog, 127, 0.511900,0.001000,0.000000,1.000000
fog, 152, 0.675400,0.001000,0.000000,1.000000
fog, 177, 0.633900,0.001000,0.000000,1.000000
fog, 202, 0.698600,0.001000,0.000000,1.000000
