noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.481000,0.001000,0.000000,1.000000
contrast, 27, 0.501200,0.001000,0.000000,1.000000
contrast, 52, 0.513600,0.001000,0.000000,1.000000
contrast, 77, 0.633700,0.001000,0.000000,1.000000
contrast, 102, 0.649500,0.001000,0.000000,1.000000
contrast, 127, 0.710400,0.001000,0.000000,1.000000
contrast, 152, 0.709900,0.001000,0.000000,1.000000
contrast, 177, 0.642400,0.001000,0.000000,1.000000
contrast, 202, 0.732600,0.001000,0.000000,1.000000
motion_blur, 2, 0.729400,0.001000,0.000000,1.000000
motion_blur, 27, 0.731300,0.001000,0.000000,1.000000
motion_blur, 52, 0.718300,0.001000,0.000000,1.000000
motion_blur, 77, 0.763500,0.001000,0.000000,1.000000
motion_blur, 102, 0.773300,0.001000,0.000000,1.000000
motion_blur, 127, 0.713400,0.001000,0.000000,1.000000
motion_blur, 152, 0.758300,0.001000,0.000000,1.000000
motion_blur, 177, 0.698900,0.001000,0.000000,1.000000
motion_blur, 202, 0.763700,0.001000,0.000000,1.000000
fog, 2, 0.675200,0.001000,0.000000,1.000000
fog, 27, 0.678200,0.001000,0.000000,1.000000
fog, 52, 0.619400,0.001000,0.000000,1.000000
fog, 77, 0.717400,0.001000,0.000000,1.000000
fog, 102, 0.716200,0.001000,0.000000,1.000000
fog, 127, 0.732700,0.001000,0.000000,1.000000
fog, 152, 0.735100,0.001000,0.000000,1.000000
fog, 177, 0.678300,0.001000,0.000000,1.000000
fog, 202, 0.740300,0.001000,0.000000,1.000000
