noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.807700,0.000000,0.000000,0.000000
brightness, 1, 0.719300,0.001000,1.000000,10.000000
brightness, 100, 0.839700,0.001000,1.000000,10.000000
contrast, 0, 0.241000,0.000000,0.000000,0.000000
contrast, 1, 0.224100,0.001000,0.500000,10.000000
contrast, 100, 0.425900,0.001000,0.500000,10.000000
defocus_blur, 0, 0.595700,0.000000,0.000000,0.000000
defocus_blur, 1, 0.319300,0.001000,1.000000,10.000000
defocus_blur, 100, 0.727700,0.000100,0.250000,10.000000
elastic_transform, 0, 0.733700,0.000000,0.000000,0.000000
elastic_transform, 1, 0.556300,0.001000,2.000000,10.000000
elastic_transform, 100, 0.739600,0.001000,0.250000,10.000000
fog, 0, 0.476000,0.000000,0.000000,0.000000
fog, 1, 0.498200,0.000010,0.750000,10.000000
fog, 100, 0.639900,0.001000,0.750000,10.000000
frost, 0, 0.700700,0.000000,0.000000,0.000000
frost, 1, 0.632800,0.001000,0.250000,10.000000
frost, 100, 0.771900,0.001000,2.000000,10.000000
gaussian_noise, 0, 0.626500,0.000000,0.000000,0.000000
gaussian_noise, 1, 0.621900,0.001000,2.000000,10.000000
gaussian_noise, 100, 0.738900,0.001000,1.000000,10.000000
glass_blur, 0, 0.605200,0.000000,0.000000,0.000000
glass_blur, 1, 0.504000,0.001000,1.000000,10.000000
glass_blur, 100, 0.679500,0.001000,0.750000,10.000000
impulse_noise, 0, 0.441100,0.000000,0.000000,0.000000
impulse_noise, 1, 0.568000,0.001000,0.750000,10.000000
impulse_noise, 100, 0.617800,0.000010,2.000000,10.000000
jpeg_compression, 0, 0.793900,0.000000,0.000000,0.000000
jpeg_compression, 1, 0.699800,0.001000,0.250000,10.000000
jpeg_compression, 100, 0.803700,0.001000,0.500000,10.000000
motion_blur, 0, 0.627600,0.000000,0.000000,0.000000
motion_blur, 1, 0.523100,0.001000,0.750000,10.000000
motion_blur, 100, 0.733700,0.001000,2.000000,10.000000
pixelate, 0, 0.691100,0.000000,0.000000,0.000000
pixelate, 1, 0.488600,0.001000,0.250000,10.000000
pixelate, 100, 0.792200,0.000100,1.000000,10.000000
shot_noise, 0, 0.656600,0.000000,0.000000,0.000000
shot_noise, 1, 0.533400,0.001000,2.000000,10.000000
shot_noise, 100, 0.754600,0.001000,0.750000,10.000000
snow, 0, 0.740900,0.000000,0.000000,0.000000
snow, 1, 0.667100,0.001000,0.250000,10.000000
snow, 100, 0.780400,0.001000,0.500000,10.000000
zoom_blur, 0, 0.645100,0.000000,0.000000,0.000000
zoom_blur, 1, 0.242800,0.001000,1.000000,10.000000
zoom_blur, 100, 0.759200,0.001000,0.500000,10.000000
