noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.477200,0.001000,0.500000,1.000000
contrast, 27, 0.494000,0.001000,1.000000,1.000000
contrast, 52, 0.618900,0.000100,0.750000,1.000000
contrast, 77, 0.616800,0.001000,2.000000,1.000000
contrast, 102, 0.649300,0.001000,2.000000,1.000000
contrast, 127, 0.698400,0.000100,1.000000,1.000000
contrast, 152, 0.705500,0.000100,0.250000,1.000000
contrast, 177, 0.699700,0.000010,2.000000,1.000000
contrast, 202, 0.706100,0.000010,0.750000,1.000000
motion_blur, 2, 0.724600,0.001000,0.750000,1.000000
motion_blur, 27, 0.738100,0.000100,0.500000,1.000000
motion_blur, 52, 0.759200,0.000100,0.500000,1.000000
motion_blur, 77, 0.762700,0.001000,0.750000,1.000000
motion_blur, 102, 0.772900,0.000100,0.250000,1.000000
motion_blur, 127, 0.774200,0.000100,2.000000,1.000000
motion_blur, 152, 0.775600,0.000100,1.000000,1.000000
motion_blur, 177, 0.777000,0.000100,0.750000,1.000000
motion_blur, 202, 0.730400,0.001000,0.250000,1.000000
fog, 2, 0.679100,0.001000,0.250000,1.000000
fog, 27, 0.675700,0.001000,1.000000,1.000000
fog, 52, 0.708500,0.000100,0.750000,1.000000
fog, 77, 0.709000,0.001000,0.500000,1.000000
fog, 102, 0.720100,0.001000,0.500000,1.000000
fog, 127, 0.733000,0.001000,2.000000,1.000000
fog, 152, 0.735200,0.001000,1.000000,1.000000
fog, 177, 0.706600,0.001000,0.750000,1.000000
fog, 202, 0.738100,0.001000,0.750000,1.000000
