noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.522000,0.000100,0.250000,1.000000
contrast, 27, 0.503200,0.000010,1.000000,1.000000
contrast, 52, 0.631800,0.000100,0.750000,1.000000
contrast, 77, 0.643300,0.000010,0.500000,1.000000
contrast, 102, 0.659900,0.001000,1.000000,1.000000
contrast, 127, 0.658800,0.001000,0.500000,1.000000
contrast, 152, 0.687300,0.001000,0.500000,1.000000
contrast, 177, 0.666700,0.001000,1.000000,1.000000
contrast, 202, 0.660600,0.010000,2.000000,1.000000
defocus_blur, 2, 0.703100,0.001000,2.000000,1.000000
defocus_blur, 27, 0.722800,0.001000,0.500000,1.000000
defocus_blur, 52, 0.772200,0.000100,0.500000,1.000000
defocus_blur, 77, 0.767600,0.001000,0.500000,1.000000
defocus_blur, 102, 0.768500,0.001000,0.250000,1.000000
defocus_blur, 127, 0.720100,0.010000,1.000000,1.000000
defocus_blur, 152, 0.736100,0.010000,2.000000,1.000000
defocus_blur, 177, 0.732400,0.001000,1.000000,1.000000
defocus_blur, 202, 0.709300,0.010000,1.000000,1.000000
fog, 2, 0.631800,0.000010,0.250000,1.000000
fog, 27, 0.657000,0.000010,2.000000,1.000000
fog, 52, 0.717000,0.000100,0.250000,1.000000
fog, 77, 0.722200,0.000010,0.500000,1.000000
fog, 102, 0.716700,0.000010,1.000000,1.000000
fog, 127, 0.726300,0.000010,1.000000,1.000000
fog, 152, 0.732100,0.001000,0.250000,1.000000
fog, 177, 0.731600,0.000100,2.000000,1.000000
fog, 202, 0.730100,0.001000,0.750000,1.000000
zoom_blur, 2, 0.749400,0.001000,0.750000,1.000000
zoom_blur, 27, 0.760900,0.001000,1.000000,1.000000
zoom_blur, 52, 0.776500,0.000100,0.750000,1.000000
zoom_blur, 77, 0.796800,0.000100,0.250000,1.000000
zoom_blur, 102, 0.789600,0.001000,2.000000,1.000000
zoom_blur, 127, 0.796100,0.001000,2.000000,1.000000
zoom_blur, 152, 0.794900,0.001000,2.000000,1.000000
zoom_blur, 177, 0.757900,0.001000,0.750000,1.000000
zoom_blur, 202, 0.728100,0.010000,0.500000,1.000000
