noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.319600,0.001000,0.750000,1.000000
contrast, 52, 0.422600,0.001000,1.000000,1.000000
contrast, 102, 0.410600,0.001000,0.250000,1.000000
contrast, 152, 0.439800,0.001000,2.000000,1.000000
contrast, 202, 0.471900,0.001000,0.250000,1.000000
contrast, 252, 0.502300,0.001000,0.250000,1.000000
contrast, 302, 0.501500,0.001000,0.750000,1.000000
contrast, 352, 0.452400,0.001000,0.250000,1.000000
contrast, 402, 0.133100,0.001000,1.000000,1.000000
motion_blur, 2, 0.632300,0.001000,0.750000,1.000000
motion_blur, 52, 0.656100,0.001000,2.000000,1.000000
motion_blur, 102, 0.651800,0.001000,2.000000,1.000000
motion_blur, 152, 0.623300,0.001000,2.000000,1.000000
motion_blur, 202, 0.686800,0.001000,2.000000,1.000000
motion_blur, 252, 0.681200,0.001000,0.250000,1.000000
motion_blur, 302, 0.667400,0.001000,0.500000,1.000000
motion_blur, 352, 0.670200,0.001000,2.000000,1.000000
motion_blur, 402, 0.576400,0.001000,0.750000,1.000000
fog, 2, 0.523600,0.001000,1.000000,1.000000
fog, 52, 0.552200,0.001000,1.000000,1.000000
fog, 102, 0.578200,0.001000,2.000000,1.000000
fog, 152, 0.493300,0.001000,0.250000,1.000000
fog, 202, 0.620700,0.001000,2.000000,1.000000
fog, 252, 0.589800,0.001000,0.750000,1.000000
fog, 302, 0.632000,0.001000,0.250000,1.000000
fog, 352, 0.568100,0.001000,0.250000,1.000000
fog, 402, 0.163700,0.001000,0.750000,1.000000
