noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.216800,0.010000,0.000000,1.000000
contrast, 52, 0.316000,0.010000,0.000000,1.000000
contrast, 102, 0.175700,0.010000,0.000000,1.000000
contrast, 152, 0.162300,0.010000,0.000000,1.000000
contrast, 202, 0.579500,0.010000,0.000000,1.000000
contrast, 252, 0.510100,0.010000,0.000000,1.000000
contrast, 302, 0.597200,0.010000,0.000000,1.000000
contrast, 352, 0.394200,0.010000,0.000000,1.000000
contrast, 402, 0.089100,0.010000,0.000000,1.000000
motion_blur, 2, 0.619000,0.010000,0.000000,1.000000
motion_blur, 52, 0.650600,0.010000,0.000000,1.000000
motion_blur, 102, 0.508600,0.010000,0.000000,1.000000
motion_blur, 152, 0.358400,0.010000,0.000000,1.000000
motion_blur, 202, 0.677000,0.010000,0.000000,1.000000
motion_blur, 252, 0.665700,0.010000,0.000000,1.000000
motion_blur, 302, 0.681900,0.010000,0.000000,1.000000
motion_blur, 352, 0.519500,0.010000,0.000000,1.000000
motion_blur, 402, 0.100300,0.010000,0.000000,1.000000
fog, 2, 0.452600,0.010000,0.000000,1.000000
fog, 52, 0.507300,0.010000,0.000000,1.000000
fog, 102, 0.553500,0.010000,0.000000,1.000000
fog, 152, 0.160000,0.010000,0.000000,1.000000
fog, 202, 0.655600,0.010000,0.000000,1.000000
fog, 252, 0.649200,0.010000,0.000000,1.000000
fog, 302, 0.650000,0.010000,0.000000,1.000000
fog, 352, 0.380400,0.010000,0.000000,1.000000
fog, 402, 0.100100,0.010000,0.000000,1.000000
