noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.467500,0.000000,0.000000,0.000000
brightness, 1, 0.189800,0.000010,1.000000,10.000000
brightness, 2, 0.279200,0.000010,1.000000,10.000000
brightness, 4, 0.433900,0.000010,1.000000,10.000000
brightness, 6, 0.468500,0.000010,1.000000,10.000000
brightness, 8, 0.484000,0.000010,1.000000,10.000000
brightness, 10, 0.499000,0.000010,1.000000,10.000000
brightness, 12, 0.504300,0.000010,1.000000,10.000000
brightness, 14, 0.504300,0.000010,1.000000,10.000000
brightness, 16, 0.509300,0.000010,1.000000,10.000000
brightness, 18, 0.511800,0.000010,1.000000,10.000000
brightness, 20, 0.525700,0.000010,1.000000,10.000000
brightness, 22, 0.524800,0.000010,1.000000,10.000000
brightness, 24, 0.522500,0.000010,1.000000,10.000000
brightness, 26, 0.529000,0.000010,1.000000,10.000000
brightness, 28, 0.529400,0.000010,1.000000,10.000000
brightness, 30, 0.533300,0.000010,1.000000,10.000000
brightness, 32, 0.533800,0.000010,1.000000,10.000000
brightness, 34, 0.535800,0.000010,1.000000,10.000000
brightness, 36, 0.537200,0.000010,1.000000,10.000000
brightness, 38, 0.539100,0.000010,1.000000,10.000000
brightness, 40, 0.538800,0.000010,1.000000,10.000000
brightness, 42, 0.538100,0.000010,1.000000,10.000000
brightness, 44, 0.539800,0.000010,1.000000,10.000000
brightness, 46, 0.540700,0.000010,1.000000,10.000000
brightness, 48, 0.541200,0.000010,1.000000,10.000000
brightness, 50, 0.542100,0.000010,1.000000,10.000000
brightness, 52, 0.542100,0.000010,1.000000,10.000000
brightness, 54, 0.546500,0.000010,1.000000,10.000000
brightness, 56, 0.546300,0.000010,1.000000,10.000000
brightness, 58, 0.550400,0.000010,1.000000,10.000000
brightness, 60, 0.549300,0.000010,1.000000,10.000000
brightness, 62, 0.549200,0.000010,1.000000,10.000000
brightness, 64, 0.548500,0.000010,1.000000,10.000000
brightness, 66, 0.392400,0.000010,1.000000,10.000000
brightness, 68, 0.466200,0.000010,1.000000,10.000000
brightness, 70, 0.508700,0.000010,1.000000,10.000000
brightness, 72, 0.524300,0.000010,1.000000,10.000000
brightness, 74, 0.533800,0.000010,1.000000,10.000000
brightness, 76, 0.545000,0.000010,1.000000,10.000000
brightness, 78, 0.545600,0.000010,1.000000,10.000000
brightness, 80, 0.548700,0.000010,1.000000,10.000000
brightness, 82, 0.547700,0.000010,1.000000,10.000000
brightness, 84, 0.547600,0.000010,1.000000,10.000000
brightness, 86, 0.547000,0.000010,1.000000,10.000000
brightness, 88, 0.549600,0.000010,1.000000,10.000000
brightness, 90, 0.548600,0.000010,1.000000,10.000000
brightness, 92, 0.546300,0.000010,1.000000,10.000000
brightness, 94, 0.547500,0.000010,1.000000,10.000000
brightness, 96, 0.547900,0.000010,1.000000,10.000000
brightness, 98, 0.547600,0.000010,1.000000,10.000000
brightness, 100, 0.552100,0.000010,1.000000,10.000000
contrast, 0, 0.081200,0.000000,0.000000,0.000000
contrast, 1, 0.027600,0.000010,1.000000,10.000000
contrast, 2, 0.090100,0.000010,1.000000,10.000000
contrast, 4, 0.142100,0.000010,1.000000,10.000000
contrast, 6, 0.174500,0.000010,1.000000,10.000000
contrast, 8, 0.191100,0.000010,1.000000,10.000000
contrast, 10, 0.186100,0.000010,1.000000,10.000000
contrast, 12, 0.179000,0.000010,1.000000,10.000000
contrast, 14, 0.171300,0.000010,1.000000,10.000000
contrast, 16, 0.172100,0.000010,1.000000,10.000000
contrast, 18, 0.170500,0.000010,1.000000,10.000000
contrast, 20, 0.173300,0.000010,1.000000,10.000000
contrast, 22, 0.186600,0.000010,1.000000,10.000000
contrast, 24, 0.185000,0.000010,1.000000,10.000000
contrast, 26, 0.189000,0.000010,1.000000,10.000000
contrast, 28, 0.193400,0.000010,1.000000,10.000000
contrast, 30, 0.191000,0.000010,1.000000,10.000000
contrast, 32, 0.193500,0.000010,1.000000,10.000000
contrast, 34, 0.191400,0.000010,1.000000,10.000000
contrast, 36, 0.195800,0.000010,1.000000,10.000000
contrast, 38, 0.194300,0.000010,1.000000,10.000000
contrast, 40, 0.194200,0.000010,1.000000,10.000000
contrast, 42, 0.199200,0.000010,1.000000,10.000000
contrast, 44, 0.192700,0.000010,1.000000,10.000000
contrast, 46, 0.193300,0.000010,1.000000,10.000000
contrast, 48, 0.193400,0.000010,1.000000,10.000000
contrast, 50, 0.199200,0.000010,1.000000,10.000000
contrast, 52, 0.198500,0.000010,1.000000,10.000000
contrast, 54, 0.205800,0.000010,1.000000,10.000000
contrast, 56, 0.208000,0.000010,1.000000,10.000000
contrast, 58, 0.207800,0.000010,1.000000,10.000000
contrast, 60, 0.203900,0.000010,1.000000,10.000000
contrast, 62, 0.204500,0.000010,1.000000,10.000000
contrast, 64, 0.205100,0.000010,1.000000,10.000000
contrast, 66, 0.118000,0.000010,1.000000,10.000000
contrast, 68, 0.212500,0.000010,1.000000,10.000000
contrast, 70, 0.230100,0.000010,1.000000,10.000000
contrast, 72, 0.246900,0.000010,1.000000,10.000000
contrast, 74, 0.278800,0.000010,1.000000,10.000000
contrast, 76, 0.270200,0.000010,1.000000,10.000000
contrast, 78, 0.270400,0.000010,1.000000,10.000000
contrast, 80, 0.272900,0.000010,1.000000,10.000000
contrast, 82, 0.307500,0.000010,1.000000,10.000000
contrast, 84, 0.322000,0.000010,1.000000,10.000000
contrast, 86, 0.318900,0.000010,1.000000,10.000000
contrast, 88, 0.322800,0.000010,1.000000,10.000000
contrast, 90, 0.324400,0.000010,1.000000,10.000000
contrast, 92, 0.329400,0.000010,1.000000,10.000000
contrast, 94, 0.327800,0.000010,1.000000,10.000000
contrast, 96, 0.329200,0.000010,1.000000,10.000000
contrast, 98, 0.333600,0.000010,1.000000,10.000000
contrast, 100, 0.332800,0.000010,1.000000,10.000000
defocus_blur, 0, 0.299300,0.000000,0.000000,0.000000
defocus_blur, 1, 0.106700,0.000010,1.000000,10.000000
defocus_blur, 2, 0.221500,0.000010,1.000000,10.000000
defocus_blur, 4, 0.335200,0.000010,1.000000,10.000000
defocus_blur, 6, 0.367500,0.000010,1.000000,10.000000
defocus_blur, 8, 0.398200,0.000010,1.000000,10.000000
defocus_blur, 10, 0.389300,0.000010,1.000000,10.000000
defocus_blur, 12, 0.395300,0.000010,1.000000,10.000000
defocus_blur, 14, 0.420100,0.000010,1.000000,10.000000
defocus_blur, 16, 0.423100,0.000010,1.000000,10.000000
defocus_blur, 18, 0.415200,0.000010,1.000000,10.000000
defocus_blur, 20, 0.417500,0.000010,1.000000,10.000000
defocus_blur, 22, 0.418200,0.000010,1.000000,10.000000
defocus_blur, 24, 0.418100,0.000010,1.000000,10.000000
defocus_blur, 26, 0.421300,0.000010,1.000000,10.000000
defocus_blur, 28, 0.428600,0.000010,1.000000,10.000000
defocus_blur, 30, 0.429000,0.000010,1.000000,10.000000
defocus_blur, 32, 0.423900,0.000010,1.000000,10.000000
defocus_blur, 34, 0.419100,0.000010,1.000000,10.000000
defocus_blur, 36, 0.419000,0.000010,1.000000,10.000000
defocus_blur, 38, 0.420400,0.000010,1.000000,10.000000
defocus_blur, 40, 0.415100,0.000010,1.000000,10.000000
defocus_blur, 42, 0.417400,0.000010,1.000000,10.000000
defocus_blur, 44, 0.419200,0.000010,1.000000,10.000000
defocus_blur, 46, 0.420000,0.000010,1.000000,10.000000
defocus_blur, 48, 0.418500,0.000010,1.000000,10.000000
defocus_blur, 50, 0.418400,0.000010,1.000000,10.000000
defocus_blur, 52, 0.413300,0.000010,1.000000,10.000000
defocus_blur, 54, 0.416100,0.000010,1.000000,10.000000
defocus_blur, 56, 0.415800,0.000010,1.000000,10.000000
defocus_blur, 58, 0.417800,0.000010,1.000000,10.000000
defocus_blur, 60, 0.417300,0.000010,1.000000,10.000000
defocus_blur, 62, 0.422500,0.000010,1.000000,10.000000
defocus_blur, 64, 0.422900,0.000010,1.000000,10.000000
defocus_blur, 66, 0.393200,0.000010,1.000000,10.000000
defocus_blur, 68, 0.456700,0.000010,1.000000,10.000000
defocus_blur, 70, 0.477900,0.000010,1.000000,10.000000
defocus_blur, 72, 0.474600,0.000010,1.000000,10.000000
defocus_blur, 74, 0.482900,0.000010,1.000000,10.000000
defocus_blur, 76, 0.488000,0.000010,1.000000,10.000000
defocus_blur, 78, 0.501200,0.000010,1.000000,10.000000
defocus_blur, 80, 0.499300,0.000010,1.000000,10.000000
defocus_blur, 82, 0.497700,0.000010,1.000000,10.000000
defocus_blur, 84, 0.500300,0.000010,1.000000,10.000000
defocus_blur, 86, 0.502300,0.000010,1.000000,10.000000
defocus_blur, 88, 0.504800,0.000010,1.000000,10.000000
defocus_blur, 90, 0.503800,0.000010,1.000000,10.000000
defocus_blur, 92, 0.507200,0.000010,1.000000,10.000000
defocus_blur, 94, 0.506500,0.000010,1.000000,10.000000
defocus_blur, 96, 0.506700,0.000010,1.000000,10.000000
defocus_blur, 98, 0.509300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.508700,0.000010,1.000000,10.000000
elastic_transform, 0, 0.436500,0.000000,0.000000,0.000000
elastic_transform, 1, 0.064000,0.000010,1.000000,10.000000
elastic_transform, 2, 0.230300,0.000010,1.000000,10.000000
elastic_transform, 4, 0.344700,0.000010,1.000000,10.000000
elastic_transform, 6, 0.384100,0.000010,1.000000,10.000000
elastic_transform, 8, 0.411400,0.000010,1.000000,10.000000
elastic_transform, 10, 0.418700,0.000010,1.000000,10.000000
elastic_transform, 12, 0.415200,0.000010,1.000000,10.000000
elastic_transform, 14, 0.414900,0.000010,1.000000,10.000000
elastic_transform, 16, 0.417400,0.000010,1.000000,10.000000
elastic_transform, 18, 0.427000,0.000010,1.000000,10.000000
elastic_transform, 20, 0.425700,0.000010,1.000000,10.000000
elastic_transform, 22, 0.439800,0.000010,1.000000,10.000000
elastic_transform, 24, 0.443700,0.000010,1.000000,10.000000
elastic_transform, 26, 0.448900,0.000010,1.000000,10.000000
elastic_transform, 28, 0.448500,0.000010,1.000000,10.000000
elastic_transform, 30, 0.448000,0.000010,1.000000,10.000000
elastic_transform, 32, 0.453100,0.000010,1.000000,10.000000
elastic_transform, 34, 0.452300,0.000010,1.000000,10.000000
elastic_transform, 36, 0.452000,0.000010,1.000000,10.000000
elastic_transform, 38, 0.449600,0.000010,1.000000,10.000000
elastic_transform, 40, 0.453000,0.000010,1.000000,10.000000
elastic_transform, 42, 0.452800,0.000010,1.000000,10.000000
elastic_transform, 44, 0.449700,0.000010,1.000000,10.000000
elastic_transform, 46, 0.451300,0.000010,1.000000,10.000000
elastic_transform, 48, 0.453100,0.000010,1.000000,10.000000
elastic_transform, 50, 0.452500,0.000010,1.000000,10.000000
elastic_transform, 52, 0.452000,0.000010,1.000000,10.000000
elastic_transform, 54, 0.455300,0.000010,1.000000,10.000000
elastic_transform, 56, 0.454900,0.000010,1.000000,10.000000
elastic_transform, 58, 0.457500,0.000010,1.000000,10.000000
elastic_transform, 60, 0.456900,0.000010,1.000000,10.000000
elastic_transform, 62, 0.457500,0.000010,1.000000,10.000000
elastic_transform, 64, 0.456800,0.000010,1.000000,10.000000
elastic_transform, 66, 0.310800,0.000010,1.000000,10.000000
elastic_transform, 68, 0.416100,0.000010,1.000000,10.000000
elastic_transform, 70, 0.434700,0.000010,1.000000,10.000000
elastic_transform, 72, 0.440300,0.000010,1.000000,10.000000
elastic_transform, 74, 0.453300,0.000010,1.000000,10.000000
elastic_transform, 76, 0.460100,0.000010,1.000000,10.000000
elastic_transform, 78, 0.458800,0.000010,1.000000,10.000000
elastic_transform, 80, 0.461900,0.000010,1.000000,10.000000
elastic_transform, 82, 0.469100,0.000010,1.000000,10.000000
elastic_transform, 84, 0.471400,0.000010,1.000000,10.000000
elastic_transform, 86, 0.473800,0.000010,1.000000,10.000000
elastic_transform, 88, 0.474200,0.000010,1.000000,10.000000
elastic_transform, 90, 0.474600,0.000010,1.000000,10.000000
elastic_transform, 92, 0.472500,0.000010,1.000000,10.000000
elastic_transform, 94, 0.474700,0.000010,1.000000,10.000000
elastic_transform, 96, 0.473900,0.000010,1.000000,10.000000
elastic_transform, 98, 0.473500,0.000010,1.000000,10.000000
elastic_transform, 100, 0.470400,0.000010,1.000000,10.000000
fog, 0, 0.183300,0.000000,0.000000,0.000000
fog, 1, 0.065400,0.000010,1.000000,10.000000
fog, 2, 0.183100,0.000010,1.000000,10.000000
fog, 4, 0.210100,0.000010,1.000000,10.000000
fog, 6, 0.241300,0.000010,1.000000,10.000000
fog, 8, 0.260700,0.000010,1.000000,10.000000
fog, 10, 0.271700,0.000010,1.000000,10.000000
fog, 12, 0.275600,0.000010,1.000000,10.000000
fog, 14, 0.286000,0.000010,1.000000,10.000000
fog, 16, 0.298300,0.000010,1.000000,10.000000
fog, 18, 0.298900,0.000010,1.000000,10.000000
fog, 20, 0.300800,0.000010,1.000000,10.000000
fog, 22, 0.301700,0.000010,1.000000,10.000000
