noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 2, 0.830800,0.001000,0.000000,1.000000
brightness, 27, 0.831200,0.000010,0.000000,1.000000
brightness, 52, 0.819700,0.000100,0.000000,1.000000
brightness, 77, 0.827800,0.000100,0.000000,1.000000
brightness, 102, 0.829200,0.001000,0.000000,1.000000
brightness, 127, 0.822000,0.001000,0.000000,1.000000
brightness, 152, 0.825000,0.001000,0.000000,1.000000
brightness, 177, 0.819100,0.000100,0.000000,1.000000
brightness, 202, 0.823800,0.000100,0.000000,1.000000
contrast, 2, 0.525700,0.000100,0.000000,1.000000
contrast, 27, 0.503200,0.000010,0.000000,1.000000
contrast, 52, 0.633800,0.000100,0.000000,1.000000
contrast, 77, 0.651900,0.000100,0.000000,1.000000
contrast, 102, 0.647300,0.001000,0.000000,1.000000
contrast, 127, 0.702500,0.000010,0.000000,1.000000
contrast, 152, 0.703200,0.001000,0.000000,1.000000
contrast, 177, 0.705500,0.000010,0.000000,1.000000
contrast, 202, 0.704100,0.001000,0.000000,1.000000
defocus_blur, 2, 0.702500,0.001000,0.000000,1.000000
defocus_blur, 27, 0.726300,0.000100,0.000000,1.000000
defocus_blur, 52, 0.708700,0.001000,0.000000,1.000000
defocus_blur, 77, 0.783500,0.001000,0.000000,1.000000
defocus_blur, 102, 0.777000,0.001000,0.000000,1.000000
defocus_blur, 127, 0.784200,0.000010,0.000000,1.000000
defocus_blur, 152, 0.773300,0.001000,0.000000,1.000000
defocus_blur, 177, 0.698400,0.001000,0.000000,1.000000
defocus_blur, 202, 0.784800,0.001000,0.000000,1.000000
elastic_transform, 2, 0.754700,0.000010,0.000000,1.000000
elastic_transform, 27, 0.749600,0.001000,0.000000,1.000000
elastic_transform, 52, 0.752000,0.000100,0.000000,1.000000
elastic_transform, 77, 0.755100,0.000010,0.000000,1.000000
elastic_transform, 102, 0.758100,0.000100,0.000000,1.000000
elastic_transform, 127, 0.746200,0.000010,0.000000,1.000000
elastic_transform, 152, 0.751700,0.000100,0.000000,1.000000
elastic_transform, 177, 0.747700,0.000100,0.000000,1.000000
elastic_transform, 202, 0.751600,0.000100,0.000000,1.000000
fog, 2, 0.638200,0.000010,0.000000,1.000000
fog, 27, 0.658300,0.000100,0.000000,1.000000
fog, 52, 0.709300,0.000100,0.000000,1.000000
fog, 77, 0.722200,0.000100,0.000000,1.000000
fog, 102, 0.717300,0.000010,0.000000,1.000000
fog, 127, 0.726800,0.000100,0.000000,1.000000
fog, 152, 0.729900,0.000100,0.000000,1.000000
fog, 177, 0.728200,0.000100,0.000000,1.000000
fog, 202, 0.733000,0.000100,0.000000,1.000000
frost, 2, 0.766000,0.001000,0.000000,1.000000
frost, 27, 0.764100,0.000100,0.000000,1.000000
frost, 52, 0.754700,0.000100,0.000000,1.000000
frost, 77, 0.752300,0.001000,0.000000,1.000000
frost, 102, 0.769200,0.001000,0.000000,1.000000
frost, 127, 0.752100,0.000100,0.000000,1.000000
frost, 152, 0.766300,0.001000,0.000000,1.000000
frost, 177, 0.751900,0.000100,0.000000,1.000000
frost, 202, 0.767200,0.001000,0.000000,1.000000
gaussian_blur, 2, 0.708100,0.001000,0.000000,1.000000
gaussian_blur, 27, 0.708700,0.000010,0.000000,1.000000
gaussian_blur, 52, 0.768600,0.000100,0.000000,1.000000
gaussian_blur, 77, 0.728700,0.001000,0.000000,1.000000
gaussian_blur, 102, 0.766400,0.001000,0.000000,1.000000
gaussian_blur, 127, 0.754900,0.001000,0.000000,1.000000
gaussian_blur, 152, 0.776500,0.001000,0.000000,1.000000
gaussian_blur, 177, 0.679600,0.001000,0.000000,1.000000
gaussian_blur, 202, 0.775600,0.001000,0.000000,1.000000
gaussian_noise, 2, 0.735700,0.001000,0.000000,1.000000
gaussian_noise, 27, 0.741700,0.001000,0.000000,1.000000
gaussian_noise, 52, 0.725400,0.000100,0.000000,1.000000
gaussian_noise, 77, 0.749800,0.001000,0.000000,1.000000
gaussian_noise, 102, 0.749800,0.001000,0.000000,1.000000
gaussian_noise, 127, 0.743800,0.000100,0.000000,1.000000
gaussian_noise, 152, 0.757500,0.001000,0.000000,1.000000
gaussian_noise, 177, 0.729300,0.000010,0.000000,1.000000
gaussian_noise, 202, 0.728900,0.010000,0.000000,1.000000
glass_blur, 2, 0.671800,0.000010,0.000000,1.000000
glass_blur, 27, 0.678200,0.001000,0.000000,1.000000
glass_blur, 52, 0.674300,0.000100,0.000000,1.000000
glass_blur, 77, 0.684300,0.001000,0.000000,1.000000
glass_blur, 102, 0.685500,0.001000,0.000000,1.000000
glass_blur, 127, 0.670700,0.001000,0.000000,1.000000
glass_blur, 152, 0.683100,0.001000,0.000000,1.000000
glass_blur, 177, 0.673100,0.000100,0.000000,1.000000
glass_blur, 202, 0.648100,0.010000,0.000000,1.000000
impulse_noise, 2, 0.595800,0.001000,0.000000,1.000000
impulse_noise, 27, 0.601700,0.001000,0.000000,1.000000
impulse_noise, 52, 0.634300,0.000100,0.000000,1.000000
impulse_noise, 77, 0.624600,0.010000,0.000000,1.000000
impulse_noise, 102, 0.604200,0.010000,0.000000,1.000000
impulse_noise, 127, 0.625800,0.010000,0.000000,1.000000
impulse_noise, 152, 0.617800,0.010000,0.000000,1.000000
impulse_noise, 177, 0.622900,0.001000,0.000000,1.000000
impulse_noise, 202, 0.627700,0.010000,0.000000,1.000000
jpeg_compression, 2, 0.794900,0.001000,0.000000,1.000000
jpeg_compression, 27, 0.800100,0.001000,0.000000,1.000000
jpeg_compression, 52, 0.768800,0.000010,0.000000,1.000000
jpeg_compression, 77, 0.789400,0.000010,0.000000,1.000000
jpeg_compression, 102, 0.789600,0.000100,0.000000,1.000000
jpeg_compression, 127, 0.778700,0.000100,0.000000,1.000000
jpeg_compression, 152, 0.781800,0.000100,0.000000,1.000000
jpeg_compression, 177, 0.783200,0.000010,0.000000,1.000000
jpeg_compression, 202, 0.789900,0.000100,0.000000,1.000000
motion_blur, 2, 0.730400,0.001000,0.000000,1.000000
motion_blur, 27, 0.730400,0.001000,0.000000,1.000000
motion_blur, 52, 0.758800,0.000100,0.000000,1.000000
motion_blur, 77, 0.773200,0.000010,0.000000,1.000000
motion_blur, 102, 0.773000,0.000100,0.000000,1.000000
motion_blur, 127, 0.776100,0.000010,0.000000,1.000000
motion_blur, 152, 0.778300,0.000100,0.000000,1.000000
motion_blur, 177, 0.760900,0.000100,0.000000,1.000000
motion_blur, 202, 0.766000,0.001000,0.000000,1.000000
pixelate, 2, 0.775900,0.001000,0.000000,1.000000
pixelate, 27, 0.777700,0.001000,0.000000,1.000000
pixelate, 52, 0.772200,0.000010,0.000000,1.000000
pixelate, 77, 0.781500,0.000100,0.000000,1.000000
pixelate, 102, 0.780100,0.000100,0.000000,1.000000
pixelate, 127, 0.773400,0.000100,0.000000,1.000000
pixelate, 152, 0.774500,0.000100,0.000000,1.000000
pixelate, 177, 0.769100,0.000010,0.000000,1.000000
pixelate, 202, 0.771500,0.000100,0.000000,1.000000
saturate, 2, 0.817500,0.001000,0.000000,1.000000
saturate, 27, 0.822600,0.001000,0.000000,1.000000
saturate, 52, 0.806900,0.000010,0.000000,1.000000
saturate, 77, 0.824000,0.000010,0.000000,1.000000
saturate, 102, 0.823700,0.001000,0.000000,1.000000
saturate, 127, 0.813400,0.001000,0.000000,1.000000
saturate, 152, 0.818200,0.001000,0.000000,1.000000
saturate, 177, 0.822300,0.000100,0.000000,1.000000
saturate, 202, 0.823200,0.000100,0.000000,1.000000
shot_noise, 2, 0.743500,0.000100,0.000000,1.000000
shot_noise, 27, 0.748600,0.001000,0.000000,1.000000
shot_noise, 52, 0.736600,0.000010,0.000000,1.000000
shot_noise, 77, 0.760300,0.001000,0.000000,1.000000
shot_noise, 102, 0.766500,0.001000,0.000000,1.000000
shot_noise, 127, 0.761600,0.001000,0.000000,1.000000
shot_noise, 152, 0.764200,0.001000,0.000000,1.000000
shot_noise, 177, 0.740500,0.001000,0.000000,1.000000
shot_noise, 202, 0.721000,0.010000,0.000000,1.000000
snow, 2, 0.773400,0.000010,0.000000,1.000000
snow, 27, 0.778400,0.000100,0.000000,1.000000
snow, 52, 0.776400,0.000100,0.000000,1.000000
snow, 77, 0.775500,0.000100,0.000000,1.000000
snow, 102, 0.779100,0.000100,0.000000,1.000000
snow, 127, 0.768500,0.000100,0.000000,1.000000
snow, 152, 0.769500,0.001000,0.000000,1.000000
snow, 177, 0.770600,0.000010,0.000000,1.000000
snow, 202, 0.771800,0.000100,0.000000,1.000000
spatter, 2, 0.706700,0.001000,0.000000,1.000000
spatter, 27, 0.709200,0.001000,0.000000,1.000000
spatter, 52, 0.687600,0.000010,0.000000,1.000000
spatter, 77, 0.699200,0.000010,0.000000,1.000000
spatter, 102, 0.704800,0.000100,0.000000,1.000000
spatter, 127, 0.699600,0.000010,0.000000,1.000000
spatter, 152, 0.705300,0.000100,0.000000,1.000000
spatter, 177, 0.696300,0.000010,0.000000,1.000000
spatter, 202, 0.700500,0.000010,0.000000,1.000000
speckle_noise, 2, 0.731000,0.001000,0.000000,1.000000
speckle_noise, 27, 0.740400,0.001000,0.000000,1.000000
speckle_noise, 52, 0.748000,0.001000,0.000000,1.000000
speckle_noise, 77, 0.754600,0.001000,0.000000,1.000000
speckle_noise, 102, 0.758100,0.001000,0.000000,1.000000
speckle_noise, 127, 0.754300,0.001000,0.000000,1.000000
speckle_noise, 152, 0.758900,0.001000,0.000000,1.000000
speckle_noise, 177, 0.729000,0.000010,0.000000,1.000000
speckle_noise, 202, 0.696000,0.010000,0.000000,1.000000
zoom_blur, 2, 0.752700,0.001000,0.000000,1.000000
zoom_blur, 27, 0.762900,0.001000,0.000000,1.000000
