noise_type,N_T,A_T,lr,ewc_lambda,zeta
contrast, 2, 0.095200,0.001000,1.000000,1.000000
contrast, 52, 0.432400,0.001000,1.000000,1.000000
contrast, 102, 0.554000,0.001000,1.000000,1.000000
contrast, 152, 0.582200,0.001000,1.000000,1.000000
contrast, 202, 0.522000,0.001000,1.000000,1.000000
contrast, 252, 0.680400,0.001000,1.000000,1.000000
contrast, 302, 0.675900,0.001000,1.000000,1.000000
contrast, 352, 0.653500,0.001000,1.000000,1.000000
motion_blur, 2, 0.524300,0.000010,1.000000,1.000000
motion_blur, 52, 0.666900,0.001000,1.000000,1.000000
motion_blur, 102, 0.710200,0.001000,1.000000,1.000000
motion_blur, 152, 0.726600,0.001000,1.000000,1.000000
motion_blur, 202, 0.615000,0.001000,1.000000,1.000000
motion_blur, 252, 0.730200,0.001000,1.000000,1.000000
motion_blur, 302, 0.724700,0.001000,1.000000,1.000000
motion_blur, 352, 0.735900,0.001000,1.000000,1.000000
fog, 2, 0.403700,0.000100,1.000000,1.000000
fog, 52, 0.571700,0.001000,1.000000,1.000000
fog, 102, 0.639700,0.001000,1.000000,1.000000
fog, 152, 0.642400,0.001000,1.000000,1.000000
fog, 202, 0.649700,0.000100,1.000000,1.000000
fog, 252, 0.672000,0.001000,1.000000,1.000000
fog, 302, 0.667000,0.001000,1.000000,1.000000
fog, 352, 0.692000,0.001000,1.000000,1.000000
